candidate_id,decision,release_rank,series,brand,core_cluster,proposed_url,parent_url,parent_gsc_clicks,parent_gsc_impressions,parent_gsc_position,related_gsc_signal,current_family_validation,commercial_distinctiveness,unique_content_depth,resale_value_priority,cannibalization_risk,thin_content_risk,quality_score,required_inlinks,recommended_outlinks,decision_reason,release_prerequisite,content_brief
B0-0291,RC_SELECTED_PENDING_W2A_OBSERVATION,1,Sony A6000 Series,Sony,camera,/บริการ/รับซื้อกล้อง-sony-a6000-series-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/,1,23,11.78,GSC: historical Sony A6400 page 1 impression + query sony a6700 มือสอง 1 impression,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,5,5,1,1,30,/บริการ/รับซื้อกล้อง-sony-อุบล/,/บริการ/รับซื้อกล้อง-sony-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Parent has the strongest camera-brand GSC signal (23 impressions); historical Sony A6400 page and A6700 query show model-family relevance; APS-C Alpha family has distinct sensor/body/shutter checks.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,Cover A6000/A6100/A6300/A6400/A6500/A6600/A6700 family differences; sensor/EVF/shutter/IBIS/body condition and lens-mount checks.
B0-0297,RC_SELECTED_PENDING_W2A_OBSERVATION,2,Fujifilm X100 Series,Fujifilm,camera,/บริการ/รับซื้อกล้อง-fujifilm-x100-series-อุบล/,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,0,1,20.0,GSC: Fujifilm parent 1 impression,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,5,5,1,1,29,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,/บริการ/รับซื้อกล้อง-fujifilm-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,X100 is a clearly differentiated fixed-lens premium compact family with strong resale characteristics and unique lens/OVF-EVF/body checks.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover X100 generations, fixed 23mm lens condition, hybrid viewfinder, sensor/dust, shutter/controls, accessories and edition-specific value."
B0-0288,RC_SELECTED_PENDING_W2A_OBSERVATION,3,AMD Radeon RX 9000 Series,AMD,pc_hardware,/บริการ/รับซื้อ-radeon-rx-9000-series-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/,0,1,3.0,GSC: query rx 7900 xtx ราคา 1 impression + GPU parent commercial query visibility,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,5,5,1,1,29,/บริการ/รับซื้อการ์ดจอ-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/; /บทความ/gpu-second-hand/,Current GPU generation with distinct RDNA4/VRAM/power/connector/warranty checks; GPU parent already has GSC visibility and commercial intent.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover RX 9070/9070 XT-class generation, VRAM, power connector/PSU context, hotspot/fans, serial/warranty and mining/repair signs."
B0-0254,RC_SELECTED_PENDING_W2A_OBSERVATION,4,ASUS Zenbook,ASUS,notebook,/บริการ/รับซื้อ-asus-zenbook-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,0,5,9.0,GSC: ASUS notebook parent 5 impressions,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,4,5,1,1,28,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,ASUS notebook parent has 5 GSC impressions and Zenbook is a current premium family with OLED/battery/chassis/value factors distinct from ROG/TUF/Vivobook.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover Zenbook OLED condition, battery health, lightweight chassis, soldered memory/storage constraints, charger and premium-model generation."
B0-0295,RC_SELECTED_PENDING_W2A_OBSERVATION,5,Nikon Z Series,Nikon,camera,/บริการ/รับซื้อกล้อง-nikon-z-series-อุบล/,/บริการ/รับซื้อกล้อง-nikon-อุบล/,0,0,,NONE,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,5,4,1,1,28,/บริการ/รับซื้อกล้อง-nikon-อุบล/,/บริการ/รับซื้อกล้อง-nikon-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Large current mirrorless ecosystem spanning DX/FX bodies; mount/sensor/shutter/IBIS/accessory checks provide strong unique-content depth.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover Nikon Z DX/FX bodies, Z mount, shutter count, sensor, IBIS where applicable, EVF/LCD, card slots and FTZ/accessories."
B0-0257,RC_SELECTED_PENDING_W2A_OBSERVATION,6,Acer Predator,Acer,notebook,/บริการ/รับซื้อ-acer-predator-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,0,1,16.0,GSC: Acer notebook parent 1 impression,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,5,5,1,1,28,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Current high-performance gaming family; GPU/TGP/cooling/display/battery checks differ materially from Nitro and generic Acer laptops.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover Predator Helios/related gaming families, GPU/TGP, thermals, high-refresh display, adapter, battery, keyboard and chassis."
B0-0267,RC_SELECTED_PENDING_W2A_OBSERVATION,7,HP Omen,HP,notebook,/บริการ/รับซื้อ-hp-omen-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,0,0,,NONE,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,5,5,1,1,28,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Current gaming family with distinct GPU/TGP/cooling/display generations and higher resale-value intent than broad HP consumer lines.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover OMEN generations, GPU/TGP, Tempest cooling, display, battery, adapter, hinge/chassis and prior repair/thermal history."
B0-0274,RC_SELECTED_PENDING_W2A_OBSERVATION,8,Dell XPS,Dell,notebook,/บริการ/รับซื้อ-dell-xps-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,0,0,,NONE,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,4,5,1,1,27,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,"Premium family with strong used-market differentiation; Dell officially restored XPS branding in 2026, reducing naming-obsolescence risk.",W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover XPS premium generations, OLED/LCD, battery, USB-C charging, thermal behavior, RAM/SSD serviceability and chassis condition."
B0-0265,RC_SELECTED_PENDING_W2A_OBSERVATION,9,Lenovo Yoga,Lenovo,notebook,/บริการ/รับซื้อ-lenovo-yoga-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,0,0,,NONE,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,5,4,1,1,27,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Current premium/2-in-1 family with hinge/touch/OLED/battery/form-factor checks that produce genuinely unique valuation content.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover Yoga Slim/Pro/2-in-1 differences, hinge, touch/OLED, battery, pen where relevant, chassis and soldered components."
B0-0279,RC_SELECTED_PENDING_W2A_OBSERVATION,10,MSI Cyborg,MSI,notebook,/บริการ/รับซื้อ-msi-cyborg-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,0,0,,NONE,VERIFIED_OR_ESTABLISHED_CURRENT_FAMILY,5,4,4,1,1,26,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Gaming family with discrete-GPU/TGP/cooling/display/chassis checks and clear separation from MSI Katana released in W2A.,W2A must be deployed/observable; rerun ownership + build/sitemap gate before production creation.,"Cover Cyborg GPU/TGP, cooling, display, hinges, keyboard, adapter, battery, storage/RAM and chassis-specific condition."
