url,content_id,source_file,core_cluster,cluster_root_url,owner_role,parent_url,ownership_status,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,lock_state,notes
/บริการ/รับซื้อ-apple-อุบล/,apple-ubon,src/content/services/apple-ubon.md,apple_ecosystem,/บริการ/รับซื้อ-apple-อุบล/,CROSS_CATEGORY_HUB,,KEEP_OWNER,2,102,0.019608,10.82,LOCKED_CURRENT,"Own only broad Apple/ecosystem intent. Must not become the primary owner for iPhone, iPad, MacBook or Apple Watch specific queries."
/บริการ/รับซื้อ-imac-อุบล/,imac-ubon,src/content/services/imac-ubon.md,apple_ecosystem,/บริการ/รับซื้อ-apple-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อ-apple-อุบล/,KEEP_OWNER,2,7,0.285714,8.29,LOCKED_CURRENT,"Own only broad Apple/ecosystem intent. Must not become the primary owner for iPhone, iPad, MacBook or Apple Watch specific queries."
/บริการ/รับซื้อ-apple-watch-อุบล/,smartwatch-ubon,src/content/services/smartwatch-ubon.md,apple_watch,/บริการ/รับซื้อ-apple-watch-อุบล/,SUBCLUSTER_OWNER,,KEEP_OWNER,0,0,,,LOCKED_CURRENT,Own Apple Watch intent and future Watch series; broad smartwatch/gadget intent remains gadget.
/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,speaker-ubon,src/content/services/speaker-ubon.md,audio,/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,CORE_OWNER,,KEEP_OWNER,0,0,,,LOCKED_CURRENT,Own generic speaker/audio intent; brand-specific JBL/Marshall child remains narrower.
/บริการ/รับซื้อลำโพง-jbl-marshall-อุบล/,speaker-jbl-marshall-ubon,src/content/services/speaker-jbl-marshall-ubon.md,audio,/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,KEEP_OWNER,0,3,0.0,8.67,LOCKED_CURRENT,Own generic speaker/audio intent; brand-specific JBL/Marshall child remains narrower.
/บริการ/รับซื้อคอมบริษัท-อุบล/,pc-corporate-ubon,src/content/services/pc-corporate-ubon.md,b2b_corporate,/บริการ/รับซื้อคอมบริษัท-อุบล/,B2B_OWNER,,KEEP_OWNER,0,2,0.0,11.0,LOCKED_CURRENT,"Own company/corporate computer intent. Office, school and game-cafe children stay narrower. Bulk/lot phrasing remains b2b_lot."
/บริการ/รับซื้อคอมร้านเกม-อุบล/,pc-game-cafe-ubon,src/content/services/pc-game-cafe-ubon.md,b2b_corporate,/บริการ/รับซื้อคอมบริษัท-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อคอมบริษัท-อุบล/,KEEP_OWNER,0,1,0.0,9.0,LOCKED_CURRENT,"Own company/corporate computer intent. Office, school and game-cafe children stay narrower. Bulk/lot phrasing remains b2b_lot."
/บริการ/รับซื้อคอมสำนักงาน-อุบล/,pc-office-ubon,src/content/services/pc-office-ubon.md,b2b_corporate,/บริการ/รับซื้อคอมบริษัท-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อคอมบริษัท-อุบล/,KEEP_OWNER,0,2,0.0,7.0,LOCKED_CURRENT,"Own company/corporate computer intent. Office, school and game-cafe children stay narrower. Bulk/lot phrasing remains b2b_lot."
/บริการ/รับซื้อคอมโรงเรียน-อุบล/,pc-school-ubon,src/content/services/pc-school-ubon.md,b2b_corporate,/บริการ/รับซื้อคอมบริษัท-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อคอมบริษัท-อุบล/,KEEP_OWNER,0,0,,,LOCKED_CURRENT,"Own company/corporate computer intent. Office, school and game-cafe children stay narrower. Bulk/lot phrasing remains b2b_lot."
/บริการ/รับซื้อคอมยกล็อต-อุบล/,b2b-lot-ubon,src/content/services/b2b-lot-ubon.md,b2b_lot,/บริการ/รับซื้อคอมยกล็อต-อุบล/,B2B_OWNER,,KEEP_OWNER,0,0,,,LOCKED_CURRENT,Own lot/bulk intent. Notebook-lot and IT-lot are child owners. Do not absorb company/office organization intent.
/บริการ/รับซื้ออุปกรณ์ไอทียกล็อต-อุบล/,it-lot-ubon,src/content/services/it-lot-ubon.md,b2b_lot,/บริการ/รับซื้อคอมยกล็อต-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อคอมยกล็อต-อุบล/,KEEP_OWNER,0,2,0.0,7.5,LOCKED_CURRENT,Own lot/bulk intent. Notebook-lot and IT-lot are child owners. Do not absorb company/office organization intent.
/บริการ/รับซื้อโน้ตบุ๊กยกล็อต-อุบล/,notebook-lot-ubon,src/content/services/notebook-lot-ubon.md,b2b_lot,/บริการ/รับซื้อคอมยกล็อต-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อคอมยกล็อต-อุบล/,KEEP_OWNER,0,0,,,LOCKED_CURRENT,Own lot/bulk intent. Notebook-lot and IT-lot are child owners. Do not absorb company/office organization intent.
/บริการ/รับซื้อ-dji-osmo-อุบล/,dji-osmo-ubon,src/content/services/dji-osmo-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,0,0,,,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อ-gopro-อุบล/,gopro-ubon,src/content/services/gopro-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,0,2,0.0,9.0,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อกล้อง-canon-อุบล/,camera-canon-ubon,src/content/services/camera-canon-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,1,19,0.052632,7.37,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อกล้อง-fujifilm-อุบล/,camera-fujifilm-ubon,src/content/services/camera-fujifilm-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,0,1,0.0,20.0,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อกล้อง-nikon-อุบล/,camera-nikon-ubon,src/content/services/camera-nikon-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,0,0,,,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อกล้อง-sony-อุบล/,sony-camera-ubon,src/content/services/sony-camera-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,1,23,0.043478,11.78,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อกล้อง-vlog-อุบล/,vlog-camera-ubon,src/content/services/vlog-camera-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,0,1,0.0,6.0,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อกล้อง-อุบล/,camera-ubon,src/content/services/camera-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,CORE_OWNER,,PROTECT_WINNER,8,70,0.114286,7.69,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
/บริการ/รับซื้อกล้อง-เสีย-อุบล/,camera-broken-ubon,src/content/services/camera-broken-ubon.md,camera,/บริการ/รับซื้อกล้อง-อุบล/,SUBCLUSTER_OWNER,/บริการ/รับซื้อกล้อง-อุบล/,KEEP_OWNER,0,0,,,LOCKED_CURRENT,"Own broad camera intent. Brand, creator-device and condition children remain narrower owners; lens-specific intent belongs camera_lens."
